湖北电信,#genre#
湖北公共新闻,http://221.232.107.183:8880/udp/239.69.1.40:9880
湖北经视,http://221.232.107.183:8880/udp/239.69.1.41:9886
湖北综合,http://221.232.107.183:8880/udp/239.69.1.42:9892
湖北垄上,http://221.232.107.183:8880/udp/239.69.1.43:9898
湖北影视,http://221.232.107.183:8880/udp/239.69.1.204:10866
湖北生活,http://221.232.107.183:8880/udp/239.69.1.205:10872
湖北教育,http://221.232.107.183:8880/udp/239.69.1.206:10878
武汉一台新闻综合,http://221.232.107.183:8880/udp/239.69.1.145:10506
武汉二台电视剧,http://221.232.107.183:8880/udp/239.69.1.146:10512
武汉三台科技生活,http://221.232.107.183:8880/udp/239.69.1.251:11148
武汉四台经济,http://221.232.107.183:8880/udp/239.69.1.35:9850
武汉五台文体,http://221.232.107.183:8880/udp/239.69.1.147:10518
武汉六台外语,http://221.232.107.183:8880/udp/239.69.1.36:9856
武汉教育,http://221.232.107.183:8880/udp/239.69.1.60:9994
蔡甸综合,http://221.232.107.183:8880/udp/239.69.1.245:11112
阳新综合,http://221.232.107.183:8880/udp/239.69.1.34:9844
房县综合,http://221.232.107.183:8880/udp/239.69.1.192:10794

湖北公共新闻,http://59.174.98.175:8880/udp/239.69.1.40:9880
湖北经视,http://59.174.98.175:8880/udp/239.69.1.41:9886
湖北综合,http://59.174.98.175:8880/udp/239.69.1.42:9892
湖北垄上,http://59.174.98.175:8880/udp/239.69.1.43:9898
湖北影视,http://59.174.98.175:8880/udp/239.69.1.204:10866
湖北生活,http://59.174.98.175:8880/udp/239.69.1.205:10872
湖北教育,http://59.174.98.175:8880/udp/239.69.1.206:10878
武汉一台新闻综合,http://59.174.98.175:8880/udp/239.69.1.145:10506
武汉二台电视剧,http://59.174.98.175:8880/udp/239.69.1.146:10512
武汉三台科技生活,http://59.174.98.175:8880/udp/239.69.1.251:11148
武汉四台经济,http://59.174.98.175:8880/udp/239.69.1.35:9850
武汉五台文体,http://59.174.98.175:8880/udp/239.69.1.147:10518
武汉六台外语,http://59.174.98.175:8880/udp/239.69.1.36:9856
武汉教育,http://59.174.98.175:8880/udp/239.69.1.60:9994
蔡甸综合,http://59.174.98.175:8880/udp/239.69.1.245:11112
阳新综合,http://59.174.98.175:8880/udp/239.69.1.34:9844
房县综合,http://59.174.98.175:8880/udp/239.69.1.192:10794

湖北公共新闻,http://27.24.20.43:8888/udp/239.69.1.40:9880
湖北经视,http://27.24.20.43:8888/udp/239.69.1.41:9886
湖北综合,http://27.24.20.43:8888/udp/239.69.1.42:9892
湖北垄上,http://27.24.20.43:8888/udp/239.69.1.43:9898
湖北影视,http://27.24.20.43:8888/udp/239.69.1.204:10866
湖北生活,http://27.24.20.43:8888/udp/239.69.1.205:10872
湖北教育,http://27.24.20.43:8888/udp/239.69.1.206:10878
武汉一台新闻综合,http://27.24.20.43:8888/udp/239.69.1.145:10506
武汉二台电视剧,http://27.24.20.43:8888/udp/239.69.1.146:10512
武汉三台科技生活,http://27.24.20.43:8888/udp/239.69.1.251:11148
武汉四台经济,http://27.24.20.43:8888/udp/239.69.1.35:9850
武汉五台文体,http://27.24.20.43:8888/udp/239.69.1.147:10518
武汉六台外语,http://27.24.20.43:8888/udp/239.69.1.36:9856
武汉教育,http://27.24.20.43:8888/udp/239.69.1.60:9994
蔡甸综合,http://27.24.20.43:8888/udp/239.69.1.245:11112
阳新综合,http://27.24.20.43:8888/udp/239.69.1.34:9844
房县综合,http://27.24.20.43:8888/udp/239.69.1.192:10794

